Shipment_ID,Shipping_Cost,Fuel_Cost,Handling_Cost,Total_Cost
SHP00001,294.05,93.24,22.95,410.24
SHP00002,201.39,141.29,64.2,406.87999999999994
SHP00003,163.48,87.56,122.82,373.86
SHP00004,557.23,229.6,84.08,870.9100000000001
SHP00005,561.45,247.89,64.48,873.82
SHP00006,421.39,200.64,113.36,735.39
SHP00007,364.9,30.72,23.16,418.78000000000003
SHP00008,269.44,142.47,115.41,527.3199999999999
SHP00009,511.07,117.3,96.99,725.36
SHP00010,378.9,189.71,27.95,596.5600000000001
SHP00011,552.3,48.99,50.85,652.14
SHP00012,115.51,41.82,25.52,182.85000000000002
SHP00013,557.92,201.32,25.7,784.94
SHP00014,278.32,207.49,27.13,512.94
SHP00015,334.3,116.94,27.74,478.98
SHP00016,82.35,129.65,128.62,340.62
SHP00017,582.2,186.51,112.39,881.1
SHP00018,205.95,55.65,130.0,391.59999999999997
SHP00019,119.43,86.19,138.73,344.35
SHP00020,261.79,56.02,117.26,435.07
SHP00021,552.33,161.97,118.0,832.3000000000001
SHP00022,498.43,100.52,97.17,696.12
SHP00023,403.72,75.38,35.02,514.12
SHP00024,136.62,213.35,57.96,407.93
SHP00025,443.3,107.13,119.59,670.0200000000001
SHP00026,136.81,151.84,63.65,352.29999999999995
SHP00027,158.34,203.93,20.3,382.57
SHP00028,353.31,235.47,86.81,675.5899999999999
SHP00029,448.37,244.35,76.91,769.63
SHP00030,169.84,177.2,66.45,413.48999999999995
SHP00031,376.69,40.24,84.76,501.69
SHP00032,278.92,113.75,66.68,459.35
SHP00033,222.73,237.55,71.36,531.64
SHP00034,241.15,53.1,38.99,333.24
SHP00035,293.08,69.01,63.46,425.54999999999995
SHP00036,369.19,114.53,130.17,613.89
SHP00037,375.01,34.21,122.35,531.5699999999999
SHP00038,86.42,72.61,87.94,246.97
SHP00039,141.09,108.71,41.46,291.26
SHP00040,204.55,188.77,34.34,427.6600000000001
SHP00041,188.52,42.37,72.02,302.91
SHP00042,356.48,72.04,56.62,485.14000000000004
SHP00043,177.7,113.19,44.52,335.40999999999997
SHP00044,278.22,61.3,90.06,429.58000000000004
SHP00045,81.03,70.22,122.39,273.64
SHP00046,489.49,48.43,34.74,572.66
SHP00047,205.5,147.54,111.44,464.47999999999996
SHP00048,246.18,87.1,89.37,422.65
SHP00049,484.58,243.32,23.43,751.3299999999999
SHP00050,497.31,81.37,71.31,649.99
SHP00051,474.97,206.97,118.9,800.84
SHP00052,126.5,149.15,93.34,368.99
SHP00053,467.45,57.33,109.07,633.8499999999999
SHP00054,462.88,90.35,101.22,654.45
SHP00055,416.63,119.56,63.45,599.6400000000001
SHP00056,123.92,219.64,145.97,489.53
SHP00057,353.39,237.73,47.93,639.05
SHP00058,498.04,40.42,67.94,606.4000000000001
SHP00059,96.7,113.78,47.32,257.8
SHP00060,595.29,203.42,30.68,829.3899999999999
SHP00061,172.23,226.2,68.98,467.40999999999997
SHP00062,386.22,153.01,79.03,618.26
SHP00063,199.98,155.05,104.75,459.78
SHP00064,376.56,107.69,129.75,614.0
SHP00065,433.37,206.77,142.54,782.68
SHP00066,399.8,123.8,40.24,563.84
SHP00067,140.74,164.07,121.44,426.25
SHP00068,563.26,88.24,61.3,712.8
SHP00069,318.65,186.75,124.29,629.6899999999999
SHP00070,574.91,131.05,95.34,801.3000000000001
SHP00071,386.8,59.37,135.37,581.54
SHP00072,288.64,44.22,126.53,459.39
SHP00073,290.26,147.99,39.13,477.38
SHP00074,268.96,170.28,86.09,525.33
SHP00075,215.45,219.1,123.51,558.06
SHP00076,392.22,50.17,119.13,561.52
SHP00077,125.6,98.37,57.17,281.14
SHP00078,563.7,228.07,125.13,916.9
SHP00079,365.81,142.27,130.96,639.0400000000001
SHP00080,381.73,30.23,136.44,548.4000000000001
SHP00081,322.32,228.95,65.14,616.41
SHP00082,539.02,150.44,94.98,784.44
SHP00083,253.44,244.09,65.39,562.92
SHP00084,253.24,155.43,81.74,490.41
SHP00085,143.82,207.36,68.75,419.93
SHP00086,251.34,231.37,30.03,512.74
SHP00087,310.35,168.05,51.81,530.21
SHP00088,482.36,130.3,105.62,718.2800000000001
SHP00089,340.1,217.5,91.38,648.98
SHP00090,95.04,163.52,120.31,378.87
SHP00091,456.5,144.11,142.22,742.83
SHP00092,155.23,190.6,40.0,385.83
SHP00093,549.01,94.68,114.58,758.2700000000001
SHP00094,244.42,174.18,39.05,457.65000000000003
SHP00095,403.17,165.4,71.61,640.1800000000001
SHP00096,364.49,232.24,142.24,738.97
SHP00097,401.33,88.17,20.7,510.2
SHP00098,192.69,143.95,90.94,427.58
SHP00099,454.07,112.41,34.39,600.87
SHP00100,346.31,215.67,55.73,617.71
SHP00101,482.34,198.84,50.29,731.4699999999999
SHP00102,348.11,205.8,84.46,638.3700000000001
SHP00103,447.69,39.9,60.09,547.68
SHP00104,404.85,107.55,23.42,535.8199999999999
SHP00105,480.05,239.03,91.0,810.08
SHP00106,388.58,40.09,136.95,565.6199999999999
SHP00107,579.89,77.85,91.45,749.19
SHP00108,80.98,145.05,134.53,360.56000000000006
SHP00109,311.26,170.9,103.82,585.98
SHP00110,236.85,167.57,38.17,442.59
SHP00111,464.3,239.44,110.3,814.04
SHP00112,254.13,51.41,48.91,354.44999999999993
SHP00113,109.89,192.98,102.03,404.9
SHP00114,333.07,174.59,118.53,626.1899999999999
SHP00115,373.06,56.65,59.82,489.53
SHP00116,416.27,44.96,114.08,575.31
SHP00117,201.42,85.43,59.82,346.67
SHP00118,380.98,126.14,64.12,571.24
SHP00119,599.29,102.45,85.75,787.49
SHP00120,393.59,64.07,89.5,547.16
SHP00121,435.78,90.52,100.37,626.67
SHP00122,497.49,238.66,20.26,756.41
SHP00123,550.81,41.26,121.73,713.8
SHP00124,127.45,148.53,113.14,389.12
SHP00125,500.27,115.55,101.52,717.3399999999999
SHP00126,104.63,143.39,75.02,323.03999999999996
SHP00127,424.57,163.54,149.95,738.06
SHP00128,434.09,161.34,149.2,744.6299999999999
SHP00129,486.55,105.9,27.2,619.6500000000001
SHP00130,546.37,89.33,88.51,724.21
SHP00131,377.77,237.83,82.0,697.6
SHP00132,257.34,228.61,76.8,562.75
SHP00133,335.29,244.2,91.9,671.39
SHP00134,328.44,243.67,139.36,711.47
SHP00135,424.69,203.05,121.66,749.4
SHP00136,475.52,37.5,58.2,571.22
SHP00137,499.37,199.36,61.72,760.45
SHP00138,469.16,128.56,47.54,645.26
SHP00139,268.29,174.74,58.86,501.89000000000004
SHP00140,272.31,143.53,97.77,513.61
SHP00141,429.83,36.44,28.87,495.14
SHP00142,152.22,65.18,42.12,259.52
SHP00143,162.2,163.24,120.65,446.09000000000003
SHP00144,415.54,178.59,69.61,663.74
SHP00145,455.03,213.79,131.15,799.9699999999999
SHP00146,554.89,47.86,47.79,650.54
SHP00147,442.38,98.1,106.4,646.88
SHP00148,150.58,123.76,47.49,321.83000000000004
SHP00149,427.25,248.41,31.59,707.25
SHP00150,361.01,75.12,52.22,488.35
SHP00151,483.82,152.27,83.84,719.9300000000001
SHP00152,255.23,38.98,87.37,381.58
SHP00153,594.93,162.21,105.11,862.25
SHP00154,294.35,132.65,83.77,510.77
SHP00155,118.24,96.38,92.68,307.3
SHP00156,431.16,92.96,27.06,551.18
SHP00157,430.88,57.51,58.82,547.21
SHP00158,232.46,99.54,79.99,411.99
SHP00159,446.24,40.19,108.53,594.96
SHP00160,595.99,40.91,27.07,663.97
SHP00161,248.63,60.83,85.95,395.40999999999997
SHP00162,191.89,54.8,34.07,280.76
SHP00163,491.81,67.63,119.72,679.1600000000001
SHP00164,444.88,81.98,129.76,656.62
SHP00165,336.8,221.69,32.47,590.96
SHP00166,569.25,134.83,106.23,810.3100000000001
SHP00167,307.75,93.72,139.72,541.19
SHP00168,419.2,223.05,21.72,663.97
SHP00169,344.73,40.92,133.24,518.8900000000001
SHP00170,150.46,134.81,33.58,318.84999999999997
SHP00171,332.56,211.43,120.92,664.91
