Order_ID,Expected_Delivery_Date,Actual_Delivery_Date,Delay_Days,Delivery_Status
ORD00001,2024-01-16,2024-01-18,2.0,Late
ORD00002,2024-05-11,2024-05-10,-1.0,On-Time
ORD00003,2024-01-21,2024-01-19,-2.0,On-Time
ORD00004,2024-03-14,2024-03-07,-7.0,On-Time
ORD00005,2024-04-28,2024-04-29,1.0,Late
ORD00006,2024-05-10,2024-05-05,-5.0,On-Time
ORD00007,2024-04-30,2024-04-30,0.0,On-Time
ORD00008,2024-01-16,2024-01-11,-5.0,On-Time
ORD00009,2024-03-19,2024-03-21,2.0,Late
ORD00010,2024-01-09,2024-01-09,0.0,On-Time
ORD00011,2024-02-14,2024-02-16,2.0,Late
ORD00012,2024-04-30,2024-04-30,0.0,On-Time
ORD00013,2024-01-25,2024-01-19,-6.0,On-Time
ORD00014,2024-04-15,2024-04-15,0.0,On-Time
ORD00015,2024-05-25,2024-05-24,-1.0,On-Time
ORD00016,2024-02-29,2024-02-28,-1.0,On-Time
ORD00017,2024-04-03,2024-04-03,0.0,On-Time
ORD00018,2024-04-25,2024-04-19,-6.0,On-Time
ORD00019,2024-05-09,2024-05-04,-5.0,On-Time
ORD00020,2024-03-10,2024-03-05,-5.0,On-Time
ORD00021,2024-02-11,2024-02-07,-4.0,On-Time
ORD00022,2024-04-16,2024-04-12,-4.0,On-Time
ORD00023,2024-03-02,2024-02-28,-3.0,On-Time
ORD00024,2024-03-23,2024-03-20,-3.0,On-Time
ORD00025,2024-01-20,2024-01-15,-5.0,On-Time
ORD00026,2024-05-11,2024-05-12,1.0,Late
ORD00027,2024-05-28,2024-05-28,0.0,On-Time
ORD00028,2024-04-10,2024-04-07,-3.0,On-Time
ORD00029,2024-04-04,2024-04-03,-1.0,On-Time
ORD00030,2024-02-06,2024-02-06,0.0,On-Time
ORD00031,2024-04-05,2024-04-01,-4.0,On-Time
ORD00032,2024-05-27,2024-05-28,1.0,Late
ORD00033,2024-03-15,2024-03-10,-5.0,On-Time
ORD00034,2024-02-07,2024-02-06,-1.0,On-Time
ORD00035,2024-03-05,2024-03-04,-1.0,On-Time
ORD00036,2024-02-15,2024-02-14,-1.0,On-Time
ORD00037,2024-02-04,2024-02-02,-2.0,On-Time
ORD00038,2024-01-26,2024-01-21,-5.0,On-Time
ORD00039,2024-04-10,2024-04-05,-5.0,On-Time
ORD00040,2024-03-25,2024-03-21,-4.0,On-Time
ORD00041,2024-04-10,2024-04-10,0.0,On-Time
ORD00042,2024-05-26,2024-05-27,1.0,Late
ORD00043,2024-03-21,2024-03-17,-4.0,On-Time
ORD00044,2024-05-22,2024-05-19,,On-Time
ORD00045,2024-01-21,2024-01-24,3.0,Late
ORD00046,2024-01-25,2024-01-25,0.0,On-Time
ORD00047,2024-05-04,2024-05-05,1.0,Late
ORD00048,2024-03-16,2024-03-19,3.0,Late
ORD00049,2024-04-04,2024-04-06,2.0,Late
ORD00050,2024-05-26,2024-05-26,0.0,On-Time
ORD00051,2024-06-02,2024-05-28,-5.0,On-Time
ORD00052,2024-05-24,2024-05-17,-7.0,On-Time
ORD00053,2024-02-06,2024-02-02,-4.0,On-Time
ORD00054,2024-02-09,2024-02-10,1.0,Late
ORD00055,2024-04-13,2024-04-11,-2.0,On-Time
ORD00056,2024-02-19,2024-02-20,1.0,Late
ORD00057,2024-05-19,2024-05-20,1.0,Late
ORD00058,2024-01-09,2024-01-10,1.0,Late
ORD00059,2024-03-20,2024-03-15,-5.0,On-Time
ORD00060,2024-04-04,2024-04-05,1.0,Late
ORD00061,2024-04-05,2024-03-31,-5.0,On-Time
ORD00062,2024-02-28,2024-02-26,-2.0,On-Time
ORD00063,2024-04-24,2024-04-26,2.0,Late
ORD00064,2024-02-12,2024-02-08,-4.0,On-Time
ORD00065,2024-04-19,2024-04-19,,On-Time
ORD00066,2024-01-20,2024-01-22,2.0,Late
ORD00067,2024-04-07,2024-04-03,-4.0,On-Time
ORD00068,2024-05-29,2024-05-29,0.0,On-Time
ORD00069,2024-05-22,2024-05-19,-3.0,On-Time
ORD00070,2024-04-01,2024-04-02,1.0,Late
ORD00071,2024-01-19,2024-01-17,-2.0,On-Time
ORD00072,2024-05-01,2024-04-25,-6.0,On-Time
ORD00073,2024-01-19,2024-01-15,-4.0,On-Time
ORD00074,2024-03-10,2024-03-08,-2.0,On-Time
ORD00075,2024-03-26,2024-03-23,-3.0,On-Time
ORD00076,2024-04-25,2024-04-22,-3.0,On-Time
ORD00077,2024-02-18,2024-02-17,-1.0,On-Time
ORD00078,2024-03-06,2024-03-04,-2.0,On-Time
ORD00079,2024-04-13,2024-04-10,-3.0,On-Time
ORD00080,2024-02-27,2024-02-23,-4.0,On-Time
ORD00081,2024-02-22,2024-02-17,-5.0,On-Time
ORD00082,2024-05-15,2024-05-15,0.0,On-Time
ORD00083,2024-06-02,2024-05-29,-4.0,On-Time
ORD00084,2024-01-30,2024-01-30,0.0,On-Time
ORD00085,2024-01-11,2024-01-11,0.0,On-Time
ORD00086,2024-02-04,2024-02-03,,On-Time
ORD00087,2024-01-24,2024-01-20,-4.0,On-Time
ORD00088,2024-03-31,2024-03-27,-4.0,On-Time
ORD00089,2024-03-27,2024-03-29,2.0,Late
ORD00090,2024-04-29,2024-04-24,-5.0,On-Time
ORD00091,2024-01-22,2024-01-18,-4.0,On-Time
ORD00092,2024-02-26,2024-02-23,-3.0,On-Time
ORD00093,2024-03-26,2024-03-22,-4.0,On-Time
ORD00094,2024-01-23,2024-01-24,1.0,Late
ORD00095,2024-02-29,2024-02-27,-2.0,On-Time
ORD00096,2024-04-26,2024-04-24,-2.0,On-Time
ORD00097,2024-01-25,2024-01-21,-4.0,On-Time
ORD00098,2024-03-29,2024-03-27,-2.0,On-Time
ORD00099,2024-02-19,2024-02-18,-1.0,On-Time
ORD00100,2024-04-05,2024-04-05,0.0,On-Time
ORD00101,2024-01-20,2024-01-20,0.0,On-Time
ORD00102,2024-02-04,2024-02-08,4.0,Late
ORD00103,2024-06-01,2024-05-27,,On-Time
ORD00104,2024-05-31,2024-05-27,-4.0,On-Time
ORD00105,2024-05-14,2024-05-12,-2.0,On-Time
ORD00106,2024-04-20,2024-04-18,-2.0,On-Time
ORD00107,2024-05-10,2024-05-10,0.0,On-Time
ORD00108,2024-01-31,2024-01-27,-4.0,On-Time
ORD00109,2024-04-14,2024-04-11,-3.0,On-Time
ORD00110,2024-03-11,2024-03-09,-2.0,On-Time
ORD00111,2024-03-16,2024-03-15,-1.0,On-Time
ORD00112,2024-04-10,2024-04-13,,Late
ORD00113,2024-04-14,2024-04-16,2.0,Late
ORD00114,2024-03-28,2024-03-30,2.0,Late
ORD00115,2024-03-11,2024-03-08,-3.0,On-Time
ORD00116,2024-03-24,2024-03-26,2.0,Late
ORD00117,2024-04-24,2024-04-23,-1.0,On-Time
ORD00118,2024-02-25,2024-02-25,0.0,On-Time
ORD00119,2024-05-02,2024-04-30,-2.0,On-Time
ORD00120,2024-05-03,2024-05-01,-2.0,On-Time
ORD00121,2024-01-21,2024-01-15,-6.0,On-Time
ORD00122,2024-06-06,2024-05-31,-6.0,On-Time
ORD00123,2024-04-12,2024-04-11,-1.0,On-Time
ORD00124,2024-03-19,2024-03-16,-3.0,On-Time
ORD00125,2024-04-16,2024-04-17,1.0,Late
ORD00126,2024-04-09,2024-04-07,-2.0,On-Time
ORD00127,2024-03-18,2024-03-18,0.0,On-Time
ORD00128,2024-05-21,2024-05-19,-2.0,On-Time
ORD00129,2024-03-21,2024-03-15,-6.0,On-Time
ORD00130,2024-04-24,2024-04-22,-2.0,On-Time
ORD00131,2024-02-06,2024-02-02,-4.0,On-Time
ORD00132,2024-05-08,2024-05-05,-3.0,On-Time
ORD00133,2024-01-22,2024-01-17,-5.0,On-Time
ORD00134,2024-01-13,2024-01-11,-2.0,On-Time
ORD00135,2024-04-12,2024-04-11,-1.0,On-Time
ORD00136,2024-02-05,2024-02-05,0.0,On-Time
ORD00137,2024-02-17,2024-02-13,-4.0,On-Time
ORD00138,2024-04-08,2024-04-03,-5.0,On-Time
ORD00139,2024-04-20,2024-04-17,-3.0,On-Time
ORD00140,2024-01-16,2024-01-12,-4.0,On-Time
ORD00141,2024-01-14,2024-01-11,-3.0,On-Time
ORD00142,2024-02-09,2024-02-05,-4.0,On-Time
ORD00143,2024-01-08,2024-01-09,1.0,Late
ORD00144,2024-01-16,2024-01-10,,On-Time
ORD00145,2024-05-06,2024-05-04,-2.0,On-Time
ORD00146,2024-05-04,2024-05-01,-3.0,On-Time
ORD00147,2024-03-22,2024-03-17,-5.0,On-Time
ORD00148,2024-02-07,2024-02-07,0.0,On-Time
ORD00149,2024-05-22,2024-05-25,3.0,Late
ORD00150,2024-01-10,2024-01-06,-4.0,On-Time
ORD00151,2024-05-02,2024-04-28,-4.0,On-Time
ORD00152,2024-05-27,2024-05-23,-4.0,On-Time
ORD00153,2024-05-19,2024-05-18,-1.0,On-Time
ORD00154,2024-03-31,2024-03-29,-2.0,On-Time
ORD00155,2024-02-18,2024-02-16,-2.0,On-Time
ORD00156,2024-02-23,2024-02-22,-1.0,On-Time
ORD00157,2024-04-11,2024-04-09,,On-Time
ORD00158,2024-04-01,2024-04-03,2.0,Late
ORD00159,2024-05-06,2024-05-06,0.0,On-Time
ORD00160,2024-02-22,2024-02-19,-3.0,On-Time
ORD00161,2024-01-24,2024-01-27,3.0,Late
ORD00162,2024-02-21,2024-02-16,-5.0,On-Time
ORD00163,2024-05-15,2024-05-14,-1.0,On-Time
ORD00164,2024-03-12,2024-03-08,-4.0,On-Time
ORD00165,2024-04-21,2024-04-21,0.0,On-Time
ORD00166,2024-01-24,2024-01-26,2.0,Late
ORD00167,2024-04-01,2024-03-26,-6.0,On-Time
ORD00168,2024-04-17,2024-04-17,0.0,On-Time
ORD00169,2024-05-28,2024-05-26,-2.0,On-Time
ORD00170,2024-03-01,2024-02-28,-2.0,On-Time
ORD00171,2024-05-19,2024-05-22,3.0,Late
ORD00172,2024-02-22,2024-02-22,0.0,On-Time
ORD00173,2024-01-15,2024-01-14,-1.0,On-Time
ORD00174,2024-02-25,2024-02-25,0.0,On-Time
ORD00175,2024-01-08,2024-01-08,0.0,On-Time
ORD00176,2024-02-23,2024-02-18,-5.0,On-Time
ORD00177,2024-03-14,2024-03-11,-3.0,On-Time
ORD00178,2024-01-21,2024-01-23,2.0,Late
