Order_ID,Order_Date,Customer_ID,Product_ID,Order_Quantity,Unit_Price,Discount,Payment_Mode,Order_Amount
ORD00001,2024-01-10,CUST00001,PROD00018,4,2881.72,0.15,UPI,9797.848
ORD00002,2024-05-05,CUST00002,PROD00181,5,1308.19,0.1,,5886.8550000000005
ORD00003,2024-01-16,CUST00003,PROD00144,1,3222.62,0.15,COD,2739.227
ORD00004,2024-03-05,CUST00004,PROD00088,3,,0.05,Card,8395.1025
ORD00005,2024-04-23,CUST00005,PROD00100,3,1555.34,0.0,COD,4666.0199999999995
ORD00006,2024-05-03,CUST00006,PROD00153,5,3545.12,0.05,COD,16839.319999999996
ORD00007,2024-04-23,CUST00007,PROD00179,4,527.56,0.05,UPI,2004.7279999999996
ORD00008,2024-01-09,CUST00008,PROD00009,5,430.61,0.1,UPI,1937.7450000000001
ORD00009,2024-03-14,CUST00009,PROD00233,3,966.73,0.15,COD,2465.1615
ORD00010,2024-01-01,CUST00010,PROD00010,5,,0.0,COD,12110.4
ORD00011,2024-02-10,CUST00011,PROD00151,4,3222.53,0.1,Card,11601.108
ORD00012,2024-04-25,CUST00012,PROD00213,5,3040.95,0.1,Card,13684.275
ORD00013,2024-01-17,CUST00013,PROD00028,2,861.97,0.1,COD,1551.546
ORD00014,2024-04-10,CUST00014,PROD00117,1,1424.43,,Card,1424.43
ORD00015,2024-05-19,CUST00015,PROD00156,5,445.61,0.15,COD,1893.8425000000002
ORD00016,2024-02-24,CUST00016,PROD00050,5,634.73,0.15,UPI,2697.6025
ORD00017,2024-03-29,CUST00017,PROD00026,4,2020.66,0.1,COD,7274.376
ORD00018,2024-04-17,CUST00018,PROD00063,2,1598.59,0.05,Net Banking,3037.321
ORD00019,2024-05-02,CUST00019,PROD00212,3,2859.06,0.0,Net Banking,8577.18
ORD00020,2024-03-03,CUST00020,PROD00185,2,983.53,0.0,COD,1967.06
ORD00021,2024-02-03,CUST00021,PROD00224,3,3426.86,0.0,COD,10280.58
ORD00022,2024-04-10,CUST00022,PROD00049,4,,0.05,COD,1905.9279999999999
ORD00023,2024-02-24,CUST00023,PROD00207,4,2949.73,0.1,UPI,10619.028
ORD00024,2024-03-18,CUST00024,PROD00129,5,1490.04,0.0,Card,7450.2
ORD00025,2024-01-14,CUST00025,PROD00227,4,2320.42,0.0,UPI,9281.68
ORD00026,2024-05-06,CUST00026,PROD00020,3,2261.99,0.05,UPI,6446.6714999999995
ORD00027,2024-05-21,CUST00027,PROD00139,1,1521.52,0.1,UPI,1369.368
ORD00028,2024-04-02,CUST00028,PROD00238,1,907.31,0.0,UPI,907.31
ORD00029,2024-03-27,CUST00029,PROD00102,2,335.82,0.15,UPI,570.894
ORD00030,2024-01-31,CUST00030,PROD00074,5,572.38,0.15,UPI,2432.6150000000002
ORD00031,2024-03-30,CUST00031,PROD00014,3,963.84,0.05,Net Banking,2746.944
ORD00032,2024-05-20,CUST00032,PROD00175,2,2749.67,0.15,Net Banking,4674.439
ORD00033,2024-03-06,CUST00033,PROD00060,2,1472.92,0.05,COD,2798.5480000000002
ORD00034,2024-02-01,CUST00034,PROD00077,4,2775.31,0.15,UPI,9436.054
ORD00035,2024-02-27,CUST00035,PROD00194,4,3762.45,0.1,Net Banking,13544.82
ORD00036,2024-02-06,CUST00036,PROD00154,3,,0.0,Card,5232.450000000001
ORD00037,2024-01-28,CUST00037,PROD00026,1,330.08,0.1,Net Banking,297.072
ORD00038,2024-01-19,CUST00038,PROD00055,5,2949.28,0.0,Card,14746.400000000001
ORD00039,2024-04-03,CUST00039,PROD00164,3,1107.37,0.15,Net Banking,2823.7934999999998
ORD00040,2024-03-18,CUST00040,PROD00167,2,3019.9,0.15,UPI,5133.83
ORD00041,2024-04-04,CUST00041,PROD00167,1,3534.54,0.15,Card,3004.359
ORD00042,2024-05-19,CUST00042,PROD00149,1,2380.18,0.1,,2142.162
ORD00043,2024-03-15,CUST00043,PROD00207,3,3453.04,0.05,Net Banking,9841.163999999999
ORD00044,2024-05-17,CUST00044,PROD00060,4,1930.24,0.05,COD,7334.911999999999
ORD00045,2024-01-16,CUST00045,PROD00020,5,2493.86,0.1,Net Banking,11222.37
ORD00046,2024-01-19,CUST00046,PROD00188,3,,0.05,COD,6030.714
ORD00047,2024-04-28,CUST00047,PROD00196,5,1966.28,0.15,,8356.689999999999
ORD00048,2024-03-12,CUST00048,PROD00063,1,1740.96,0.15,Card,1479.816
ORD00049,2024-03-29,CUST00049,PROD00210,4,1541.16,0.0,Net Banking,6164.64
ORD00050,2024-05-19,CUST00050,PROD00106,5,3701.69,0.1,COD,16657.605
ORD00051,2024-05-25,CUST00051,PROD00045,5,415.64,0.15,UPI,1766.4699999999998
ORD00052,2024-05-15,CUST00052,PROD00244,1,678.47,0.1,COD,610.623
ORD00053,2024-01-29,CUST00053,PROD00102,5,1188.09,0.15,Net Banking,5049.3825
ORD00054,2024-02-03,CUST00054,PROD00199,5,1427.63,0.0,Net Banking,7138.150000000001
ORD00055,2024-04-06,CUST00055,PROD00134,5,303.38,0.15,Card,1289.365
ORD00056,2024-02-14,CUST00056,PROD00214,3,2763.01,0.15,Net Banking,7045.6755
ORD00057,2024-05-13,CUST00057,PROD00032,5,1015.87,0.05,Card,4825.3825
ORD00058,2024-01-05,CUST00058,PROD00035,2,3189.18,0.0,COD,6378.36
ORD00059,2024-03-12,CUST00059,PROD00135,5,2505.68,0.0,Card,12528.4
ORD00060,2024-03-29,CUST00060,PROD00062,3,418.36,,UPI,1129.572
ORD00061,2024-03-29,CUST00061,PROD00075,2,2619.17,0.0,Card,5238.34
ORD00062,2024-02-20,CUST00062,PROD00083,1,3264.78,0.0,Net Banking,3264.78
ORD00063,2024-04-18,CUST00063,PROD00244,3,2609.94,0.1,Card,7046.838
ORD00064,2024-02-04,CUST00064,PROD00133,3,,0.05,Net Banking,7567.3769999999995
ORD00065,2024-04-14,CUST00065,PROD00139,5,3779.98,0.15,COD,16064.915
ORD00066,2024-01-16,CUST00066,PROD00105,5,1733.03,0.1,UPI,7798.635
ORD00067,2024-03-29,CUST00067,PROD00145,1,1873.48,,,1779.806
ORD00068,2024-05-23,CUST00068,PROD00088,4,2016.45,0.15,COD,6855.93
ORD00069,2024-05-14,CUST00069,PROD00149,2,3505.11,0.1,COD,6309.198
ORD00070,2024-03-26,CUST00070,PROD00237,1,1809.6,0.0,Net Banking,1809.6
ORD00071,2024-01-12,CUST00071,PROD00199,2,3719.42,0.15,Card,6323.014
ORD00072,2024-04-22,CUST00072,PROD00060,2,2777.19,0.05,UPI,5276.661
ORD00073,2024-01-13,CUST00073,PROD00062,3,368.11,0.15,Net Banking,938.6804999999999
ORD00074,2024-03-03,CUST00074,PROD00099,2,2732.78,0.0,UPI,5465.56
ORD00075,2024-03-20,CUST00075,PROD00090,3,322.63,0.05,Net Banking,919.4955
ORD00076,2024-04-18,CUST00076,PROD00209,1,1596.41,0.05,UPI,1516.5895
ORD00077,2024-02-12,CUST00077,PROD00140,4,670.64,,Net Banking,2548.432
ORD00078,2024-02-27,CUST00078,PROD00204,2,2992.66,0.05,Card,5686.053999999999
ORD00079,2024-04-07,CUST00079,PROD00115,1,,0.15,UPI,2433.958
ORD00080,2024-02-20,CUST00080,PROD00200,4,917.15,0.0,COD,3668.6
ORD00081,2024-02-15,CUST00081,PROD00018,3,3321.08,0.15,UPI,8468.753999999999
ORD00082,2024-05-08,CUST00082,PROD00073,2,789.34,0.05,Net Banking,1499.746
ORD00083,2024-05-26,CUST00083,PROD00226,4,3003.55,0.0,UPI,12014.2
ORD00084,2024-01-24,CUST00084,PROD00004,2,3091.65,0.0,Net Banking,6183.3
ORD00085,2024-01-04,CUST00085,PROD00027,4,2249.78,0.0,COD,8999.12
ORD00086,2024-01-30,CUST00086,PROD00005,5,3888.46,0.1,COD,17498.07
ORD00087,2024-01-17,CUST00087,PROD00194,3,3706.04,0.1,Card,10006.307999999999
ORD00088,2024-03-25,CUST00088,PROD00095,5,2620.81,0.05,Net Banking,12448.847499999998
ORD00089,2024-03-23,CUST00089,PROD00149,4,2554.25,0.05,Card,9706.15
ORD00090,2024-04-22,CUST00090,PROD00168,5,626.34,0.1,Net Banking,2818.53
ORD00091,2024-01-15,CUST00091,PROD00054,4,313.55,0.15,UPI,1066.07
ORD00092,2024-02-21,CUST00092,PROD00225,4,2863.82,0.1,UPI,10309.752
ORD00093,2024-03-20,CUST00093,PROD00037,4,1715.17,0.15,Net Banking,5831.578
ORD00094,2024-01-18,CUST00094,PROD00205,1,3168.22,0.0,Net Banking,3168.22
ORD00095,2024-02-23,CUST00095,PROD00003,5,2301.15,0.05,UPI,10930.4625
ORD00096,2024-04-20,CUST00096,PROD00053,1,2754.08,0.0,COD,2754.08
ORD00097,2024-01-18,CUST00097,PROD00181,2,2474.31,0.0,Net Banking,4948.62
ORD00098,2024-03-22,CUST00098,PROD00042,1,,0.1,UPI,2050.65
