Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Shipping_Mode,Carrier,Warehouse_ID
SHP00001,ORD00001,2024-01-12,2024-01-18,Air,IndiaPost,WH00011
SHP00002,ORD00002,2024-05-06,2024-05-10,Standard,EcomExpress,WH00012
SHP00003,ORD00003,2024-01-17,2024-01-19,Standard,IndiaPost,WH00002
SHP00004,ORD00004,2024-03-08,2024-03-07,Air,BlueDart,WH00010
SHP00005,ORD00005,2024-04-24,2024-04-29,Road,BlueDart,WH00008
SHP00006,ORD00006,2024-05-06,2024-05-05,Air,EcomExpress,WH00009
SHP00007,ORD00007,2024-04-24,2024-04-30,Express,IndiaPost,WH00002
SHP00008,ORD00008,2024-01-12,2024-01-11,Standard,BlueDart,WH00001
SHP00009,ORD00009,2024-03-16,2024-03-21,Standard,BlueDart,WH00007
SHP00010,ORD00010,2024-01-03,2024-01-09,Air,IndiaPost,WH00007
SHP00011,ORD00011,2024-02-11,2024-02-16,Standard,Delhivery,WH00007
SHP00012,ORD00012,2024-04-27,2024-04-30,Express,IndiaPost,WH00010
SHP00013,ORD00013,2024-01-20,2024-01-19,Road,IndiaPost,WH00009
SHP00014,ORD00014,2024-04-12,2024-04-15,Express,BlueDart,WH00002
SHP00015,ORD00015,2024-05-21,2024-05-24,Standard,Delhivery,WH00010
SHP00016,ORD00016,2024-02-25,2024-02-28,Standard,IndiaPost,WH00009
SHP00017,ORD00017,2024-03-31,2024-04-03,Express,BlueDart,WH00002
SHP00018,ORD00018,2024-04-20,2024-04-19,Standard,BlueDart,WH00007
SHP00019,ORD00019,2024-05-05,2024-05-04,Air,IndiaPost,WH00012
SHP00020,ORD00020,2024-03-05,2024-03-05,Standard,IndiaPost,WH00009
SHP00021,ORD00021,2024-02-06,2024-02-07,Road,EcomExpress,WH00011
SHP00022,ORD00022,2024-04-13,2024-04-12,Air,Delhivery,WH00008
SHP00023,ORD00023,2024-02-25,2024-02-28,Road,Delhivery,WH00012
